dataset_idx,dataset_name,dataset_tipo,n_samples,n_features,k,metrica,p,algoritmo,eps,run,radius,silhouette,ari,tempo
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,13,13.56699911427727,0.7205295637217932,nan,0.0006459000001086679
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,13,nan,0.7659686024380011,nan,0.06889559900014319
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,14,3.763802064432042,0.7631248207580491,nan,5.799999985356408e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,14,3.4173423645047456,0.7659686024380011,nan,0.001227200000130324
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,14,3.4173423645047456,0.7659686024380011,nan,0.0009712999999464955
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,14,3.4173423645047456,0.7659686024380011,nan,0.0009293000000525353
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,14,6.885411981978272,0.8278455524506478,nan,0.0007381999998870015
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,14,13.56699911427727,0.7205295637217932,nan,0.0006785000000490982
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,14,nan,0.7659686024380011,nan,0.08753009900010511
0,blobs,blobs,800,2,5,mahalanobis,,gonzalez,,0,0.9036641939207626,0.6951448573363257,nan,0.00011779999999816937
0,blobs,blobs,800,2,5,mahalanobis,,intervalo,0.01,0,0.6525724217590018,0.7524194935924312,nan,0.0013146000001142966
0,blobs,blobs,800,2,5,mahalanobis,,intervalo,0.05,0,0.643094367159137,0.6791760151282378,nan,0.001101599999856262
0,blobs,blobs,800,2,5,mahalanobis,,intervalo,0.1,0,0.9162843229266313,0.8071492338865696,nan,0.0009301999998569954
